date,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2005/4/8,984.665,1003.699,979.529,1003.445,984.733,1476252600,9151349808,3,0.014011,1,1.900214,0
2005/4/11,1003.879,1008.735,992.773,995.421,1003.445,1593606600,10436232248,3,0.015125,1,-0.799644,0
2005/4/12,993.711,993.711,978.204,978.697,995.421,1022619300,6479563495,3,0.009705,1,-1.680093,0
2005/4/13,987.95,1006.499,987.95,1000.9,978.697,1607168700,10029602129,3,0.015239,1,2.268629,0
2005/4/14,1004.64,1006.416,985.578,986.975,1000.9,1294571000,7813424514,3,0.012275,1,-1.391253,0
2005/4/15,982.613,982.613,971.93,974.082,986.975,1040895500,6541675456,3,0.00987,1,-1.306315,0
2005/4/18,970.907,970.907,958.649,963.772,974.082,859840000,5329138712,3,0.008128,1,-1.058432,0
2005/4/19,962.916,968.867,957.91,965.886,963.772,921262300,5768907755,3,0.008709,1,0.219348,0
2005/4/20,964.151,964.151,946.197,950.867,965.886,885070500,5300003714,3,0.008366,1,-1.554944,0
2005/4/21,948.861,955.553,938.595,943.981,950.867,994614500,6140646108,3,0.009255,1,-0.72418,0
2005/4/22,942.908,947.909,934.957,939.101,943.981,1069188400,6373550345,3,0.009948,1,-0.51696,0
2005/4/25,935.993,935.993,920.162,930.07,939.101,1147047800,6667303132,3,0.010643,1,-0.961665,0
2005/4/26,928.428,939.696,924.655,937.083,930.07,1169047100,7029373085,3,0.010847,1,0.754029,0
2005/4/27,938.57,938.91,925.896,926.604,937.083,1078061100,6432845906,3,0.009991,1,-1.118258,0
2005/4/28,923.529,945.504,914.829,942.073,926.604,1434348600,8315813742,3,0.013293,1,1.669429,0
2005/4/29,940.806,942.453,929.81,932.395,942.073,1123541900,6853192443,3,0.010378,1,-1.027307,0
2005/5/9,934.65,937.39,909.174,909.174,932.395,852911500,4889696446,3,0.007868,1,-2.490469,0
2005/5/10,905.543,913.388,892.313,913.076,909.174,1049433100,5960910722,3,0.00968,1,0.429178,0
2005/5/11,911.838,917.223,900.438,901.851,913.076,904204700,5128333208,3,0.008321,1,-1.229358,0
2005/5/12,899.968,900.063,883.511,885.82,901.851,1022872000,6107327165,3,0.009411,1,-1.777567,0
2005/5/13,883.505,898.505,875.576,887.543,885.82,1124490600,6228419643,3,0.010346,1,0.194512,0
2005/5/16,885.389,885.389,869.334,875.271,887.543,822428800,4630088469,3,0.007562,1,-1.382697,0
2005/5/17,873.077,888.281,868.212,881.462,875.271,877227300,4635198616,3,0.008066,1,0.707321,0
2005/5/18,881.141,890.403,871.821,883.196,881.462,787861000,4615409280,3,0.007217,1,0.19672,0
2005/5/19,882.842,888.016,871.289,884.171,883.196,814958300,4263472583,3,0.007456,1,0.110399,0
2005/5/20,883.513,891.02,879.18,882.763,884.171,722667600,3835476288,3,0.006604,1,-0.159247,0
2005/5/23,880.281,880.281,862.098,863.341,882.763,727979500,3725791093,3,0.006653,1,-2.200137,0
2005/5/24,861.195,871.767,855.587,868.456,863.341,920692900,4777971875,3,0.008414,1,0.592465,0
2005/5/25,867.658,876.305,861.659,868.451,868.456,723855600,3742173189,3,0.006615,1,-0.000576,0
2005/5/26,867.758,872.835,854.956,857.331,868.451,662278600,3470051082,3,0.006052,1,-1.28044,0
2005/5/27,855.595,864.963,848.398,849.508,857.331,774998300,4240678764,3,0.007069,1,-0.912483,0
2005/5/30,847.634,858.462,842.102,855.612,849.508,697158300,3712116331,3,0.006354,1,0.718534,0
2005/5/31,856.561,863.198,853.291,855.946,855.612,704782100,3601006687,3,0.006424,1,0.039035,0
2005/6/1,855.206,857.657,836.04,837.532,855.946,790230200,4274074912,3,0.007203,1,-2.151304,0
2005/6/2,835.467,835.493,812.989,818.379,837.532,950865700,5220786229,3,0.008667,1,-2.286833,0
2005/6/3,816.546,823.86,807.965,818.033,818.379,793605600,4164754479,3,0.007233,1,-0.04228,0
2005/6/6,816.731,839.15,807.784,838.997,818.033,900918500,4685006534,3,0.008212,1,2.562732,0
2005/6/7,841.579,858.092,835.179,837.282,838.997,1306706800,7248577634,3,0.011908,1,-0.204414,0
2005/6/8,848.536,908.829,844.473,905.773,837.282,3290783900,17414544247,3,0.029939,1,8.180162,0
2005/6/9,907.569,925.365,895.036,912.604,905.773,3314184000,17782386004,3,0.030149,1,0.754162,0
2005/6/10,911.941,911.941,889.103,894.556,912.604,2239150200,12006754528,3,0.02037,1,-1.977635,0
2005/6/13,894.997,900.18,877.69,892.959,894.556,1562800200,7944060172,3,0.014217,1,-0.178529,0
2005/6/14,895.391,905.415,882.862,883.537,892.959,1434357000,7692070462,3,0.013046,1,-1.055143,0
2005/6/15,881.208,881.248,865.136,866.834,883.537,1145405600,6272310250,3,0.010418,1,-1.89047,0
2005/6/16,866.659,879.493,861.827,879.237,866.834,1104968500,6115269193,3,0.01005,1,1.430841,0
2005/6/17,883.605,888.078,876.038,880.345,879.237,1496300900,8285455982,3,0.013565,1,0.126015,0
2005/6/20,881.623,906.482,872.563,906.255,880.345,1899208200,10290889580,3,0.017078,1,2.943168,0
2005/6/21,906.306,906.306,894.386,896.166,906.255,1277478400,6890936652,3,0.011487,1,-1.113262,0
2005/6/22,894.769,901.243,891.926,900.646,896.166,1047813400,5882401451,3,0.009407,1,0.499905,0
2005/6/23,900.059,904.896,892.831,893.572,900.646,950930800,5465028353,3,0.008533,1,-0.785433,0
2005/6/24,892.061,898.67,888.397,898.301,893.572,891873900,4732186046,3,0.008002,1,0.529225,0
2005/6/27,904.209,920.647,904.209,916.043,898.301,1654540200,8903493734,3,0.014844,1,1.975062,0
2005/6/28,913.48,913.48,901.207,903.716,916.043,1040221900,5536098456,3,0.009324,1,-1.345682,0
2005/6/29,906.751,907.571,898.084,898.898,903.716,1080674600,5751998008,3,0.009617,1,-0.533131,0
2005/6/30,897.102,897.102,876.884,878.686,898.898,1085547200,5597946269,3,0.00965,1,-2.248535,0
2005/7/1,875.935,875.935,858.37,859.494,878.686,1009459700,5086726820,3,0.008976,1,-2.184165,0
2005/7/4,855.317,856.1,842.812,855.932,859.494,884027700,4026099534,3,0.007861,1,-0.414431,0
2005/7/5,853.679,856.738,845.361,849.679,855.932,799268800,4529674417,3,0.007091,1,-0.730548,0
2005/7/6,850.253,854.448,838.609,842.556,849.679,689831400,3627265630,3,0.006118,1,-0.838315,0
2005/7/7,841.748,848.022,839.282,844.729,842.556,596246500,2901826588,3,0.005283,1,0.257903,0
2005/7/8,842.62,842.62,827.229,829.489,844.729,722100000,3447787083,3,0.006398,1,-1.804128,0
2005/7/11,837.863,850.658,822.524,824.097,829.489,843900600,4092653674,3,0.007456,1,-0.650042,0
2005/7/12,821.911,854.286,818.863,851.816,824.097,1498987100,7519245269,3,0.013244,1,3.36356,0
2005/7/13,850.469,851.949,841.858,846.231,851.816,939884200,4674024437,3,0.008304,1,-0.655654,0
2005/7/14,844.94,856.095,843.176,849.59,846.231,936196800,4742557429,3,0.008272,1,0.396937,0
2005/7/15,849.873,854.604,837.783,841.001,849.59,888956300,4203939701,3,0.007854,1,-1.010964,0
2005/7/18,839.221,840.005,829.679,832.995,841.001,850000600,3767754660,3,0.00751,1,-0.951959,0
2005/7/19,831.501,840.143,829.277,835.608,832.995,789181800,3622924794,3,0.006969,1,0.313684,0
2005/7/20,835.301,844.712,832.144,842.641,835.608,852647300,3953440082,3,0.007503,1,0.841665,0
2005/7/21,842.746,843.987,835.757,843.987,842.641,836610100,4118496717,3,0.007362,1,0.159737,0
2005/7/22,847.541,867.165,842.987,859.693,843.987,2162514094,10199001746,3,1.901809,1,1.860929,0
2005/7/25,858.328,860.951,854.284,856.86,859.693,1181608000,5762385031,3,0.010387,1,-0.329537,0
2005/7/26,856.189,880.034,856.189,876.48,856.86,2182677600,10513580671,3,0.019186,1,2.289755,0
2005/7/27,876.942,894.026,876.036,894.012,876.48,2040953700,9688109273,3,0.017923,1,2.000279,0
2005/7/28,893.879,900.997,888.5,890.885,894.012,2062252700,10326374188,3,0.018111,1,-0.349773,0
2005/7/29,889.41,892.294,883.383,888.164,890.885,1339740600,6409062024,3,0.011747,1,-0.305428,0
2005/8/1,887.718,897.285,885.85,891.607,888.164,1180830900,5451576867,3,0.010351,1,0.387653,0
2005/8/2,892.13,903.648,888.396,903.598,891.607,1429254700,6441958706,3,0.012528,1,1.344878,0
2005/8/3,905.181,919.282,903.76,909.57,903.598,2578629800,11911777040,3,0.022603,1,0.660912,0
2005/8/4,907.42,909.827,901.625,904.15,909.57,1451925600,6682690057,3,0.012727,1,-0.595884,0
2005/8/5,904.039,923.808,903.94,923.803,904.15,1912376500,9585685726,3,0.016747,1,2.173639,0
2005/8/8,926.571,933.154,923.573,927.471,923.803,2160894400,11135756693,3,0.018923,1,0.397058,0
2005/8/9,926.973,933.394,919.107,933.089,927.471,1953290700,9704541246,3,0.01709,1,0.605731,0
2005/8/10,933.26,940.37,926.275,940.37,933.089,2151576300,10214864206,3,0.018825,1,0.780312,0
2005/8/11,940.785,953.992,939.386,953.992,940.37,2707366600,14042061872,3,0.023686,1,1.44858,0
2005/8/12,954.719,959.268,933.985,938.316,953.992,2916814400,14457553256,3,0.025359,1,-1.643203,0
2005/8/15,937.705,954.502,936.113,954.502,938.316,2043081300,10503460782,3,0.017741,1,1.725009,0
2005/8/16,955.27,959.343,939.916,945.058,954.502,2386181800,12606079730,3,0.020704,1,-0.98942,0
2005/8/17,943.405,953.342,930.325,953.012,945.058,2145776900,10910460911,3,0.018586,1,0.841646,0
